unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,tradecount
1628985600000,2021-08-15 00:00:00,AAVE/USDT,414.39000000,415.66000000,414.06000000,414.73000000,531.29920000,220410.54073500,578
1628982000000,2021-08-14 23:00:00,AAVE/USDT,410.80000000,415.50000000,410.33000000,414.38000000,1601.48670000,662725.46918200,3213
1628978400000,2021-08-14 22:00:00,AAVE/USDT,413.11000000,414.55000000,410.56000000,411.00000000,1659.56810000,684896.15201600,2469
1628974800000,2021-08-14 21:00:00,AAVE/USDT,407.82000000,413.62000000,407.75000000,413.06000000,1301.34750000,535153.45059500,2113
1628971200000,2021-08-14 20:00:00,AAVE/USDT,412.62000000,412.82000000,405.94000000,407.80000000,2962.90450000,1209671.84919800,5531
1628967600000,2021-08-14 19:00:00,AAVE/USDT,410.19000000,414.54000000,408.29000000,412.61000000,2839.26710000,1166812.32268800,4017
1628964000000,2021-08-14 18:00:00,AAVE/USDT,410.78000000,412.54000000,409.46000000,410.17000000,2502.66260000,1028401.15468100,2486
1628960400000,2021-08-14 17:00:00,AAVE/USDT,413.51000000,413.73000000,409.85000000,410.95000000,2557.96190000,1052400.56434900,3285
1628956800000,2021-08-14 16:00:00,AAVE/USDT,416.02000000,416.67000000,411.46000000,413.56000000,2851.90470000,1180675.63469100,3464
1628953200000,2021-08-14 15:00:00,AAVE/USDT,415.57000000,416.46000000,412.00000000,416.05000000,4068.53120000,1688146.30875600,5484
1628949600000,2021-08-14 14:00:00,AAVE/USDT,409.63000000,415.71000000,408.50000000,415.57000000,6057.70010000,2500969.23642700,10892
1628946000000,2021-08-14 13:00:00,AAVE/USDT,407.34000000,409.88000000,405.28000000,409.63000000,2483.73480000,1013283.37214000,2687
1628942400000,2021-08-14 12:00:00,AAVE/USDT,411.63000000,412.55000000,407.18000000,407.30000000,3936.12590000,1613636.15076900,4392
1628938800000,2021-08-14 11:00:00,AAVE/USDT,407.07000000,412.28000000,404.15000000,411.60000000,6214.36870000,2543029.78905600,8584
1628935200000,2021-08-14 10:00:00,AAVE/USDT,415.81000000,416.00000000,404.71000000,407.15000000,23914.29930000,9829430.82994100,37268
1628931600000,2021-08-14 09:00:00,AAVE/USDT,422.30000000,428.25000000,412.00000000,415.81000000,10696.34000000,4492755.73083400,15448
1628928000000,2021-08-14 08:00:00,AAVE/USDT,423.42000000,425.40000000,421.83000000,422.14000000,2840.87940000,1203818.02391700,3085
1628924400000,2021-08-14 07:00:00,AAVE/USDT,424.35000000,425.66000000,423.25000000,423.29000000,3060.60200000,1299426.30985100,3382
1628920800000,2021-08-14 06:00:00,AAVE/USDT,421.35000000,425.58000000,420.53000000,424.35000000,3768.80160000,1596033.31816800,3801
1628917200000,2021-08-14 05:00:00,AAVE/USDT,419.19000000,422.00000000,418.82000000,421.35000000,2701.72410000,1135240.77327800,2059
1628913600000,2021-08-14 04:00:00,AAVE/USDT,421.25000000,424.94000000,418.81000000,419.36000000,2397.47030000,1011162.41249100,4693
1628910000000,2021-08-14 03:00:00,AAVE/USDT,421.80000000,423.09000000,419.70000000,420.93000000,1507.47780000,635048.08999600,1837
1628906400000,2021-08-14 02:00:00,AAVE/USDT,422.26000000,423.58000000,419.47000000,421.79000000,2380.75420000,1003624.60645100,2311
1628902800000,2021-08-14 01:00:00,AAVE/USDT,422.16000000,427.80000000,421.69000000,422.30000000,4373.06360000,1858157.72662400,4859
1628899200000,2021-08-14 00:00:00,AAVE/USDT,427.52000000,427.93000000,418.74000000,422.16000000,5428.14650000,2298808.01434400,6130
1628895600000,2021-08-13 23:00:00,AAVE/USDT,422.66000000,427.78000000,421.61000000,427.50000000,4309.95240000,1833746.48271300,10129
1628892000000,2021-08-13 22:00:00,AAVE/USDT,421.57000000,423.55000000,419.41000000,422.68000000,2386.51030000,1005041.06843200,2684
1628888400000,2021-08-13 21:00:00,AAVE/USDT,423.89000000,425.35000000,420.55000000,421.37000000,3164.74200000,1339666.40720100,5203
1628884800000,2021-08-13 20:00:00,AAVE/USDT,415.36000000,424.61000000,413.89000000,424.06000000,7824.57950000,3299740.01852200,11071
1628881200000,2021-08-13 19:00:00,AAVE/USDT,417.36000000,417.92000000,413.10000000,415.27000000,2124.00560000,881554.91225600,2284
1628877600000,2021-08-13 18:00:00,AAVE/USDT,417.39000000,419.23000000,415.14000000,417.34000000,2098.61840000,875195.50824700,2105
1628874000000,2021-08-13 17:00:00,AAVE/USDT,419.99000000,420.00000000,415.74000000,417.50000000,4440.24780000,1853177.90561200,2900
1628870400000,2021-08-13 16:00:00,AAVE/USDT,415.69000000,419.99000000,412.72000000,419.86000000,4714.97680000,1961179.19451300,4187
1628866800000,2021-08-13 15:00:00,AAVE/USDT,417.29000000,418.28000000,411.06000000,416.01000000,5518.25680000,2282640.78428300,8127
1628863200000,2021-08-13 14:00:00,AAVE/USDT,419.41000000,421.76000000,414.49000000,417.44000000,6094.85890000,2550472.41297000,4586
1628859600000,2021-08-13 13:00:00,AAVE/USDT,418.00000000,420.86000000,414.73000000,419.39000000,6343.90580000,2646381.95157300,4660
1628856000000,2021-08-13 12:00:00,AAVE/USDT,414.58000000,420.81000000,414.21000000,417.91000000,3785.22620000,1581356.01490100,3978
1628852400000,2021-08-13 11:00:00,AAVE/USDT,420.00000000,422.11000000,412.87000000,414.58000000,8342.27170000,3480096.82493600,8180
1628848800000,2021-08-13 10:00:00,AAVE/USDT,417.43000000,422.56000000,417.43000000,419.96000000,6981.18280000,2934608.69616000,5036
1628845200000,2021-08-13 09:00:00,AAVE/USDT,422.40000000,426.87000000,416.83000000,417.44000000,15451.88500000,6495829.02670200,8909
1628841600000,2021-08-13 08:00:00,AAVE/USDT,423.27000000,428.28000000,419.30000000,422.34000000,12727.69660000,5390646.32627200,14202
1628838000000,2021-08-13 07:00:00,AAVE/USDT,416.33000000,425.32000000,416.31000000,423.27000000,19692.31870000,8310558.90377200,29054
1628834400000,2021-08-13 06:00:00,AAVE/USDT,400.07000000,417.14000000,399.46000000,416.33000000,14640.34390000,6022027.25477300,32355
1628816400000,2021-08-13 01:00:00,AAVE/USDT,393.85000000,400.10000000,393.63000000,400.10000000,8180.68140000,3251150.07543900,8438
1628812800000,2021-08-13 00:00:00,AAVE/USDT,392.27000000,395.15000000,387.87000000,393.77000000,6927.52790000,2718922.05094700,5749
1628809200000,2021-08-12 23:00:00,AAVE/USDT,382.31000000,392.70000000,382.14000000,392.17000000,4147.66770000,1608780.38430700,3638
1628805600000,2021-08-12 22:00:00,AAVE/USDT,388.72000000,389.35000000,380.59000000,382.15000000,4060.66050000,1560155.09862800,3602
1628802000000,2021-08-12 21:00:00,AAVE/USDT,391.79000000,392.54000000,385.94000000,388.63000000,2846.73150000,1107168.26007700,2470
1628798400000,2021-08-12 20:00:00,AAVE/USDT,388.76000000,392.98000000,386.22000000,391.83000000,3759.16890000,1468351.83793900,3565
1628794800000,2021-08-12 19:00:00,AAVE/USDT,390.36000000,390.86000000,386.23000000,388.57000000,2846.15340000,1106778.40192700,2287
1628791200000,2021-08-12 18:00:00,AAVE/USDT,383.82000000,391.00000000,383.62000000,390.20000000,3384.07340000,1314068.12963900,3333
1628787600000,2021-08-12 17:00:00,AAVE/USDT,380.36000000,386.70000000,378.95000000,383.80000000,3613.16850000,1387620.02381200,4123
1628784000000,2021-08-12 16:00:00,AAVE/USDT,382.91000000,384.40000000,375.93000000,380.47000000,6611.13360000,2511318.95804400,7687
1628780400000,2021-08-12 15:00:00,AAVE/USDT,382.88000000,386.93000000,382.09000000,382.94000000,7870.25930000,3022954.12119300,4614
1628776800000,2021-08-12 14:00:00,AAVE/USDT,392.97000000,392.98000000,381.15000000,382.85000000,9423.66380000,3645302.06861400,12282
1628773200000,2021-08-12 13:00:00,AAVE/USDT,393.93000000,396.41000000,392.20000000,392.98000000,3518.80860000,1387731.91622500,3079
1628769600000,2021-08-12 12:00:00,AAVE/USDT,397.48000000,400.08000000,391.00000000,393.93000000,7310.48930000,2886011.08894700,9006
