unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1632268800000,2021-09-22 00:00:00,BNB/USDT,344.40000000,351.90000000,343.10000000,349.50000000,49999.49900000,17399544.40610000,13721
1632265200000,2021-09-21 23:00:00,BNB/USDT,345.50000000,348.80000000,342.10000000,344.40000000,105367.67600000,36350483.62720000,33162
1632261600000,2021-09-21 22:00:00,BNB/USDT,352.20000000,355.90000000,344.50000000,345.40000000,78096.98000000,27363419.29150000,32652
1632258000000,2021-09-21 21:00:00,BNB/USDT,347.50000000,355.40000000,336.80000000,352.30000000,138206.32200000,47918228.73273400,64298
1632254400000,2021-09-21 20:00:00,BNB/USDT,357.10000000,358.60000000,345.90000000,347.50000000,89986.80700000,31625172.28380000,42045
1632250800000,2021-09-21 19:00:00,BNB/USDT,359.10000000,361.00000000,355.20000000,357.00000000,38541.59800000,13804082.69670000,21511
1632247200000,2021-09-21 18:00:00,BNB/USDT,357.90000000,363.40000000,357.10000000,359.10000000,65471.34000000,23590134.83800000,29611
1632243600000,2021-09-21 17:00:00,BNB/USDT,363.00000000,363.90000000,355.90000000,357.90000000,74587.25500000,26819113.86540000,35137
1632240000000,2021-09-21 16:00:00,BNB/USDT,369.90000000,370.80000000,362.40000000,363.00000000,47897.92900000,17552935.47490000,25450
1632236400000,2021-09-21 15:00:00,BNB/USDT,365.60000000,370.40000000,365.00000000,369.90000000,56776.15000000,20883919.74110000,28686
1632232800000,2021-09-21 14:00:00,BNB/USDT,369.60000000,370.20000000,362.00000000,365.80000000,78822.93500000,28831633.73190000,35247
1632229200000,2021-09-21 13:00:00,BNB/USDT,370.20000000,372.80000000,367.40000000,369.60000000,57470.10300000,21266805.91960000,27436
1632225600000,2021-09-21 12:00:00,BNB/USDT,372.60000000,375.50000000,370.10000000,370.20000000,55097.43700000,20517801.10970000,30946
1632222000000,2021-09-21 11:00:00,BNB/USDT,373.80000000,376.00000000,371.80000000,372.60000000,49502.40100000,18500337.09312000,25557
1632218400000,2021-09-21 10:00:00,BNB/USDT,370.80000000,374.60000000,369.00000000,373.90000000,41189.78700000,15318042.91650000,22137
1632214800000,2021-09-21 09:00:00,BNB/USDT,372.00000000,373.80000000,369.60000000,370.70000000,41909.37600000,15585353.16040000,23208
1632211200000,2021-09-21 08:00:00,BNB/USDT,370.10000000,373.10000000,368.00000000,372.10000000,46428.28600000,17204320.75910000,29289
1632207600000,2021-09-21 07:00:00,BNB/USDT,365.60000000,370.20000000,364.60000000,370.00000000,41429.17300000,15203675.60070000,24207
1632204000000,2021-09-21 06:00:00,BNB/USDT,360.50000000,366.90000000,360.40000000,365.70000000,41494.85000000,15105783.37830000,22669
1632200400000,2021-09-21 05:00:00,BNB/USDT,360.90000000,362.10000000,355.80000000,360.50000000,52864.49400000,18986145.59720000,24664
1632196800000,2021-09-21 04:00:00,BNB/USDT,363.60000000,366.40000000,359.60000000,360.90000000,40816.33100000,14801947.47080000,21754
1632193200000,2021-09-21 03:00:00,BNB/USDT,366.00000000,367.20000000,362.40000000,363.50000000,31775.71800000,11604805.46300000,21224
1632189600000,2021-09-21 02:00:00,BNB/USDT,363.10000000,367.20000000,361.30000000,366.00000000,52353.49900000,19083094.70280000,26598
1632186000000,2021-09-21 01:00:00,BNB/USDT,351.40000000,363.50000000,350.60000000,363.00000000,71127.80200000,25428234.98140000,33661
1632182400000,2021-09-21 00:00:00,BNB/USDT,364.10000000,364.50000000,344.00000000,351.30000000,179844.87710000,63279239.59534500,82835
1632178800000,2021-09-20 23:00:00,BNB/USDT,364.70000000,367.00000000,359.00000000,364.10000000,69838.14900000,25265893.76320000,37149
1632175200000,2021-09-20 22:00:00,BNB/USDT,366.30000000,371.70000000,362.60000000,364.70000000,41146.17800000,15140405.96610000,23179
1632171600000,2021-09-20 21:00:00,BNB/USDT,365.50000000,369.30000000,364.30000000,366.20000000,26967.75900000,9905227.43420000,18242
1632168000000,2021-09-20 20:00:00,BNB/USDT,368.70000000,369.70000000,362.80000000,365.60000000,36587.51800000,13401019.66930000,22563
1632164400000,2021-09-20 19:00:00,BNB/USDT,366.20000000,369.40000000,361.10000000,368.60000000,82941.01000000,30298198.23310000,40357
1632160800000,2021-09-20 18:00:00,BNB/USDT,373.30000000,374.20000000,364.50000000,366.20000000,58538.11500000,21555435.61740000,33028
1632157200000,2021-09-20 17:00:00,BNB/USDT,371.20000000,374.80000000,370.60000000,373.30000000,36402.57900000,13561591.93770000,25390
1632153600000,2021-09-20 16:00:00,BNB/USDT,371.20000000,374.90000000,367.20000000,371.20000000,70171.43500000,26043859.97520000,37350
1632150000000,2021-09-20 15:00:00,BNB/USDT,371.10000000,374.80000000,367.90000000,371.10000000,62766.46400000,23295676.57020000,34029
1632146400000,2021-09-20 14:00:00,BNB/USDT,374.40000000,374.50000000,368.80000000,371.10000000,76309.07700000,28349715.42590000,40888
