unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1632268800000,2021-09-22 00:00:00,ETC/USDT,45.81000000,46.67000000,45.34000000,46.20000000,60966.98000000,2803632.84150000,3747
1632265200000,2021-09-21 23:00:00,ETC/USDT,45.19000000,45.85000000,44.69000000,45.81000000,121632.50600000,5498034.99844200,8629
1632261600000,2021-09-21 22:00:00,ETC/USDT,46.77000000,46.85000000,45.12000000,45.19000000,99197.39000000,4563711.75880000,7342
1632258000000,2021-09-21 21:00:00,ETC/USDT,46.28000000,47.19000000,44.87000000,46.77000000,185358.60600000,8517490.66606800,13564
1632254400000,2021-09-21 20:00:00,ETC/USDT,47.66000000,48.03000000,46.16000000,46.28000000,144973.42000000,6777083.26260000,9289
1632250800000,2021-09-21 19:00:00,ETC/USDT,47.75000000,48.13000000,47.38000000,47.66000000,54536.72000000,2603094.55950000,3523
1632247200000,2021-09-21 18:00:00,ETC/USDT,47.68000000,48.41000000,47.45000000,47.79000000,100098.28000000,4795624.53440000,6385
1632243600000,2021-09-21 17:00:00,ETC/USDT,48.35000000,48.54000000,47.59000000,47.74000000,95150.54000000,4568633.89430000,6396
1632240000000,2021-09-21 16:00:00,ETC/USDT,49.61000000,49.79000000,48.27000000,48.35000000,79708.75000000,3899218.78290000,5438
1632236400000,2021-09-21 15:00:00,ETC/USDT,48.77000000,49.66000000,48.64000000,49.59000000,50359.15000000,2479386.08570000,4370
1632232800000,2021-09-21 14:00:00,ETC/USDT,49.65000000,49.72000000,48.35000000,48.78000000,75996.39000000,3716833.43340000,6305
1632229200000,2021-09-21 13:00:00,ETC/USDT,49.54000000,50.02000000,49.10000000,49.65000000,66547.37000000,3301552.51930000,4793
1632225600000,2021-09-21 12:00:00,ETC/USDT,49.87000000,50.41000000,49.41000000,49.52000000,71043.66000000,3545396.51900000,5601
1632222000000,2021-09-21 11:00:00,ETC/USDT,50.06000000,50.26000000,49.70000000,49.89000000,28839.44000000,1441122.52280000,3183
1632218400000,2021-09-21 10:00:00,ETC/USDT,49.66000000,50.29000000,49.29000000,50.05000000,51125.67000000,2544925.23660000,4072
1632214800000,2021-09-21 09:00:00,ETC/USDT,50.06000000,50.21000000,49.41000000,49.65000000,39690.11000000,1975314.63400000,3429
1632211200000,2021-09-21 08:00:00,ETC/USDT,49.83000000,50.23000000,49.59000000,50.05000000,59199.43000000,2953323.68360000,4850
1632207600000,2021-09-21 07:00:00,ETC/USDT,49.25000000,49.90000000,49.04000000,49.82000000,61091.73000000,3022880.25210000,4873
1632204000000,2021-09-21 06:00:00,ETC/USDT,48.70000000,49.46000000,48.69000000,49.24000000,44662.34000000,2193859.11510000,4379
1632200400000,2021-09-21 05:00:00,ETC/USDT,48.31000000,48.83000000,47.99000000,48.70000000,59389.83000000,2873781.86250000,4887
1632196800000,2021-09-21 04:00:00,ETC/USDT,49.18000000,49.34000000,48.30000000,48.32000000,72159.72000000,3523376.12400000,5505
1632193200000,2021-09-21 03:00:00,ETC/USDT,49.58000000,50.20000000,49.06000000,49.17000000,71382.77000000,3542480.36000000,5766
1632189600000,2021-09-21 02:00:00,ETC/USDT,49.06000000,49.74000000,48.89000000,49.59000000,61861.40000000,3053695.17870000,5401
1632186000000,2021-09-21 01:00:00,ETC/USDT,47.08000000,49.22000000,46.98000000,49.06000000,93710.29000000,4527076.83700000,8431
1632182400000,2021-09-21 00:00:00,ETC/USDT,49.10000000,49.36000000,46.17000000,47.07000000,314647.70600000,14905416.96807800,23113
1632178800000,2021-09-20 23:00:00,ETC/USDT,49.37000000,49.69000000,48.67000000,49.11000000,96823.12000000,4747743.72080000,8309
1632175200000,2021-09-20 22:00:00,ETC/USDT,49.58000000,50.56000000,49.14000000,49.36000000,52588.80000000,2619795.16540000,5063
1632171600000,2021-09-20 21:00:00,ETC/USDT,49.29000000,50.00000000,49.25000000,49.58000000,25827.98000000,1283652.96710000,2656
1632168000000,2021-09-20 20:00:00,ETC/USDT,49.97000000,50.14000000,48.94000000,49.30000000,41275.59000000,2040976.50470000,4160
1632164400000,2021-09-20 19:00:00,ETC/USDT,49.60000000,50.04000000,49.00000000,49.97000000,89043.80000000,4407607.21600000,6604
1632160800000,2021-09-20 18:00:00,ETC/USDT,50.81000000,50.87000000,49.47000000,49.61000000,74820.70000000,3746309.08230000,5216
1632157200000,2021-09-20 17:00:00,ETC/USDT,50.29000000,50.94000000,50.11000000,50.80000000,35461.01000000,1791709.65750000,2985
1632153600000,2021-09-20 16:00:00,ETC/USDT,50.61000000,50.96000000,50.11000000,50.29000000,70876.06000000,3581400.20350000,5589
1632150000000,2021-09-20 15:00:00,ETC/USDT,49.94000000,51.24000000,49.49000000,50.62000000,135623.55000000,6837854.72610000,10169
1632146400000,2021-09-20 14:00:00,ETC/USDT,50.27000000,50.34000000,49.72000000,49.94000000,73799.51000000,3692157.39250000,6615
1632142800000,2021-09-20 13:00:00,ETC/USDT,49.29000000,50.32000000,48.75000000,50.27000000,168671.92000000,8363303.00710000,13323
1632139200000,2021-09-20 12:00:00,ETC/USDT,49.36000000,49.87000000,47.17000000,49.27000000,302450.04100000,14678335.53422000,20543
1632135600000,2021-09-20 11:00:00,ETC/USDT,51.05000000,51.18000000,48.23000000,49.37000000,370289.45000000,18346865.60220000,27949
1632132000000,2021-09-20 10:00:00,ETC/USDT,51.67000000,52.32000000,50.94000000,51.05000000,120818.52000000,6234610.17830000,9022
1632128400000,2021-09-20 09:00:00,ETC/USDT,52.35000000,52.37000000,51.61000000,51.66000000,38806.26000000,2021068.82030000,3844
1632124800000,2021-09-20 08:00:00,ETC/USDT,51.87000000,52.47000000,51.49000000,52.33000000,60680.51000000,3157801.99450000,5613
1632121200000,2021-09-20 07:00:00,ETC/USDT,52.72000000,53.05000000,51.26000000,51.87000000,163205.29000000,8477074.82280000,11912
1632117600000,2021-09-20 06:00:00,ETC/USDT,53.05000000,53.20000000,52.42000000,52.72000000,49134.53000000,2593410.45060000,4392
1632114000000,2021-09-20 05:00:00,ETC/USDT,53.15000000,53.34000000,52.89000000,53.05000000,32028.47000000,1702035.86900000,2687
1632110400000,2021-09-20 04:00:00,ETC/USDT,52.67000000,53.35000000,52.23000000,53.15000000,58032.30000000,3066421.66270000,5448
1632106800000,2021-09-20 03:00:00,ETC/USDT,53.09000000,54.00000000,52.32000000,52.69000000,212701.36000000,11279771.64470000,13919
1632103200000,2021-09-20 02:00:00,ETC/USDT,54.92000000,54.94000000,52.78000000,53.10000000,187071.04000000,10002933.17120000,14575
1632099600000,2021-09-20 01:00:00,ETC/USDT,54.35000000,54.98000000,54.18000000,54.92000000,27133.67000000,1482732.12900000,2472
1632096000000,2021-09-20 00:00:00,ETC/USDT,55.33000000,55.43000000,54.00000000,54.37000000,107294.39000000,5851024.94020000,10156
1632092400000,2021-09-19 23:00:00,ETC/USDT,54.97000000,55.49000000,54.87000000,55.33000000,39242.02000000,2164864.15040000,2639
1632088800000,2021-09-19 22:00:00,ETC/USDT,55.86000000,56.14000000,54.75000000,54.98000000,73050.70000000,4036944.06740000,7257
1632085200000,2021-09-19 21:00:00,ETC/USDT,56.22000000,56.27000000,55.68000000,55.87000000,22235.04000000,1244699.20980000,1971
1632081600000,2021-09-19 20:00:00,ETC/USDT,55.75000000,56.28000000,55.62000000,56.23000000,23367.32000000,1307342.73560000,2704
1632078000000,2021-09-19 19:00:00,ETC/USDT,56.19000000,56.28000000,55.72000000,55.75000000,18227.19000000,1019476.18780000,1640
1632074400000,2021-09-19 18:00:00,ETC/USDT,55.79000000,56.43000000,55.71000000,56.19000000,28745.69000000,1612776.24520000,2495
1632070800000,2021-09-19 17:00:00,ETC/USDT,56.02000000,56.24000000,55.62000000,55.80000000,27182.73000000,1519728.30420000,2360
1632067200000,2021-09-19 16:00:00,ETC/USDT,56.13000000,56.34000000,55.93000000,56.03000000,26620.62000000,1494921.04120000,2538
1632063600000,2021-09-19 15:00:00,ETC/USDT,56.17000000,56.39000000,56.04000000,56.14000000,23489.81000000,1319786.95180000,2082
1632060000000,2021-09-19 14:00:00,ETC/USDT,55.89000000,56.38000000,55.84000000,56.17000000,68360.42000000,3839622.69100000,3916
1632056400000,2021-09-19 13:00:00,ETC/USDT,55.87000000,56.03000000,55.72000000,55.89000000,20141.38000000,1125739.71030000,1745
1632052800000,2021-09-19 12:00:00,ETC/USDT,55.76000000,55.99000000,55.42000000,55.85000000,58235.64000000,3243204.84810000,4659
1632049200000,2021-09-19 11:00:00,ETC/USDT,56.55000000,56.56000000,55.41000000,55.77000000,85422.03000000,4778514.82630000,6965
1632045600000,2021-09-19 10:00:00,ETC/USDT,56.83000000,56.90000000,56.48000000,56.56000000,15201.87000000,861406.43150000,1587
1632042000000,2021-09-19 09:00:00,ETC/USDT,57.03000000,57.07000000,56.70000000,56.82000000,15190.81000000,863781.63620000,1612
1632038400000,2021-09-19 08:00:00,ETC/USDT,56.83000000,57.06000000,56.79000000,57.04000000,12518.89000000,712778.29910000,1506
1632034800000,2021-09-19 07:00:00,ETC/USDT,56.81000000,57.13000000,56.59000000,56.84000000,21955.92000000,1248458.43690000,1841
1632031200000,2021-09-19 06:00:00,ETC/USDT,56.81000000,56.88000000,56.61000000,56.80000000,17968.82000000,1019403.19640000,1578
1632027600000,2021-09-19 05:00:00,ETC/USDT,56.61000000,56.86000000,56.51000000,56.81000000,13741.66000000,779414.91990000,1539
1632024000000,2021-09-19 04:00:00,ETC/USDT,56.40000000,56.75000000,56.32000000,56.61000000,13755.78000000,777165.91820000,1426
1632020400000,2021-09-19 03:00:00,ETC/USDT,56.69000000,56.76000000,56.34000000,56.41000000,11968.39000000,676636.35100000,1175
1632016800000,2021-09-19 02:00:00,ETC/USDT,56.75000000,56.88000000,56.52000000,56.68000000,13924.26000000,789439.20660000,1242
1632013200000,2021-09-19 01:00:00,ETC/USDT,56.60000000,56.83000000,55.97000000,56.76000000,67718.75000000,3811293.55350000,4628
1632009600000,2021-09-19 00:00:00,ETC/USDT,57.19000000,57.26000000,56.43000000,56.61000000,35423.87000000,2012892.07670000,2563
1632006000000,2021-09-18 23:00:00,ETC/USDT,56.96000000,57.34000000,56.79000000,57.19000000,26645.03000000,1520786.56680000,2058
1632002400000,2021-09-18 22:00:00,ETC/USDT,56.65000000,57.13000000,56.60000000,56.98000000,13782.95000000,784423.67120000,1362
1631998800000,2021-09-18 21:00:00,ETC/USDT,56.68000000,56.92000000,56.57000000,56.68000000,12670.57000000,719646.04160000,1526
1631995200000,2021-09-18 20:00:00,ETC/USDT,57.33000000,57.35000000,56.36000000,56.69000000,51847.77000000,2938127.21160000,4305
1631991600000,2021-09-18 19:00:00,ETC/USDT,57.23000000,57.32000000,56.87000000,57.31000000,27654.86000000,1576997.08240000,2255
1631988000000,2021-09-18 18:00:00,ETC/USDT,57.34000000,57.36000000,56.94000000,57.24000000,14279.27000000,816126.45760000,1495
1631984400000,2021-09-18 17:00:00,ETC/USDT,57.05000000,57.37000000,56.90000000,57.35000000,31456.97000000,1795534.85050000,2558
1631980800000,2021-09-18 16:00:00,ETC/USDT,57.50000000,57.69000000,56.98000000,57.06000000,42899.09000000,2456605.73070000,3071
1631977200000,2021-09-18 15:00:00,ETC/USDT,57.71000000,57.79000000,57.26000000,57.49000000,21239.04000000,1222384.47200000,2081
1631973600000,2021-09-18 14:00:00,ETC/USDT,57.56000000,57.98000000,57.39000000,57.70000000,35043.59000000,2021984.64640000,2894
1631970000000,2021-09-18 13:00:00,ETC/USDT,57.30000000,57.67000000,57.21000000,57.56000000,23507.87000000,1350143.11200000,2279
1631966400000,2021-09-18 12:00:00,ETC/USDT,57.35000000,57.86000000,57.19000000,57.31000000,43189.02000000,2482492.13330000,3389
1631962800000,2021-09-18 11:00:00,ETC/USDT,57.75000000,58.00000000,57.21000000,57.35000000,29039.71000000,1675092.42470000,3052
1631959200000,2021-09-18 10:00:00,ETC/USDT,57.84000000,58.07000000,57.72000000,57.76000000,25318.59000000,1466337.32540000,2161
1631955600000,2021-09-18 09:00:00,ETC/USDT,58.04000000,58.16000000,57.66000000,57.83000000,24229.38000000,1402761.49590000,2349
1631952000000,2021-09-18 08:00:00,ETC/USDT,57.80000000,58.41000000,57.80000000,58.03000000,63932.29000000,3717301.05940000,5382
1631948400000,2021-09-18 07:00:00,ETC/USDT,57.92000000,57.95000000,57.67000000,57.78000000,25321.19000000,1464373.78170000,2434
1631944800000,2021-09-18 06:00:00,ETC/USDT,57.96000000,58.19000000,57.71000000,57.91000000,54443.96000000,3156458.18230000,4151
1631941200000,2021-09-18 05:00:00,ETC/USDT,57.54000000,58.05000000,57.50000000,57.96000000,43143.65000000,2492106.10910000,3650
1631937600000,2021-09-18 04:00:00,ETC/USDT,57.08000000,57.68000000,57.07000000,57.54000000,53030.65000000,3045035.03010000,4292
1631934000000,2021-09-18 03:00:00,ETC/USDT,56.62000000,57.12000000,56.58000000,57.07000000,34266.52000000,1947519.73100000,2391
1631930400000,2021-09-18 02:00:00,ETC/USDT,56.66000000,56.81000000,56.53000000,56.62000000,15072.16000000,854321.23080000,1398
1631926800000,2021-09-18 01:00:00,ETC/USDT,56.61000000,56.77000000,56.41000000,56.66000000,29301.42000000,1659308.50380000,2439
1631923200000,2021-09-18 00:00:00,ETC/USDT,56.69000000,56.74000000,55.69000000,56.62000000,114094.56000000,6395209.59860000,6948
1631919600000,2021-09-17 23:00:00,ETC/USDT,56.22000000,56.84000000,56.13000000,56.70000000,17193.23000000,971718.65830000,2061
