unix,date,symbol,open,high,low,close,Volume FIL,Volume USDT,tradecount
1632268800000,2021-09-22 00:00:00,FIL/USDT,69.54000000,71.03000000,69.48000000,70.40000000,126757.43000000,8911144.63590000,12289
1632265200000,2021-09-21 23:00:00,FIL/USDT,68.95000000,70.08000000,68.35000000,69.54000000,320246.03000000,22152248.92440000,31784
1632261600000,2021-09-21 22:00:00,FIL/USDT,71.70000000,72.31000000,68.81000000,68.93000000,289089.12000000,20473861.43610000,29227
1632258000000,2021-09-21 21:00:00,FIL/USDT,70.73000000,72.79000000,68.14000000,71.70000000,330973.97380000,23236885.69518700,42258
1632254400000,2021-09-21 20:00:00,FIL/USDT,71.78000000,72.21000000,70.37000000,70.74000000,254736.50000000,18083526.80130000,27815
1632250800000,2021-09-21 19:00:00,FIL/USDT,72.44000000,72.81000000,71.47000000,71.77000000,134455.83000000,9686916.68410000,14335
1632247200000,2021-09-21 18:00:00,FIL/USDT,72.22000000,73.18000000,72.02000000,72.45000000,175000.11000000,12702843.27630000,18016
1632243600000,2021-09-21 17:00:00,FIL/USDT,72.86000000,73.39000000,71.80000000,72.24000000,216723.78000000,15698770.37860000,22860
1632240000000,2021-09-21 16:00:00,FIL/USDT,74.80000000,74.94000000,72.73000000,72.85000000,169055.61000000,12469479.47220000,19957
1632236400000,2021-09-21 15:00:00,FIL/USDT,73.31000000,74.87000000,73.14000000,74.80000000,144835.96000000,10708159.09530000,15510
1632232800000,2021-09-21 14:00:00,FIL/USDT,74.69000000,74.83000000,72.91000000,73.31000000,189226.57000000,13961390.24450000,20636
1632229200000,2021-09-21 13:00:00,FIL/USDT,74.51000000,75.11000000,73.67000000,74.69000000,224607.24000000,16720565.54290000,22078
1632225600000,2021-09-21 12:00:00,FIL/USDT,75.78000000,76.14000000,74.50000000,74.51000000,165587.16000000,12462619.06980000,17289
1632222000000,2021-09-21 11:00:00,FIL/USDT,75.24000000,76.58000000,75.15000000,75.78000000,142729.84000000,10828470.73910000,15658
1632218400000,2021-09-21 10:00:00,FIL/USDT,75.17000000,75.86000000,74.51000000,75.25000000,174960.97000000,13157358.32980000,16678
1632214800000,2021-09-21 09:00:00,FIL/USDT,74.78000000,75.87000000,74.55000000,75.17000000,193453.03000000,14557477.36840000,17681
1632211200000,2021-09-21 08:00:00,FIL/USDT,74.99000000,75.05000000,74.21000000,74.78000000,166912.49000000,12477294.02670000,14805
1632207600000,2021-09-21 07:00:00,FIL/USDT,74.12000000,75.17000000,73.76000000,74.99000000,168081.24000000,12535649.49460000,13648
1632204000000,2021-09-21 06:00:00,FIL/USDT,73.69000000,74.66000000,73.67000000,74.11000000,115065.83000000,8528277.77330000,11283
1632200400000,2021-09-21 05:00:00,FIL/USDT,73.21000000,74.06000000,72.17000000,73.69000000,183201.82000000,13396077.43520000,17021
1632196800000,2021-09-21 04:00:00,FIL/USDT,73.91000000,74.38000000,72.96000000,73.20000000,155871.81000000,11459428.53820000,15039
1632193200000,2021-09-21 03:00:00,FIL/USDT,74.87000000,75.17000000,73.75000000,73.91000000,145057.26000000,10788543.97390000,13902
1632189600000,2021-09-21 02:00:00,FIL/USDT,74.60000000,75.40000000,74.05000000,74.88000000,209026.64000000,15601274.23010000,20717
1632186000000,2021-09-21 01:00:00,FIL/USDT,72.22000000,74.97000000,71.91000000,74.58000000,263678.85000000,19439420.21640000,25474
1632182400000,2021-09-21 00:00:00,FIL/USDT,74.42000000,74.46000000,70.02000000,72.22000000,654873.22550000,47251618.42317000,67089
1632178800000,2021-09-20 23:00:00,FIL/USDT,76.07000000,76.69000000,73.72000000,74.43000000,235860.84000000,17606056.51130000,26553
1632175200000,2021-09-20 22:00:00,FIL/USDT,76.39000000,77.83000000,75.59000000,76.07000000,123333.58000000,9490872.35910000,16910
1632171600000,2021-09-20 21:00:00,FIL/USDT,75.91000000,77.00000000,75.78000000,76.39000000,55811.22000000,4268275.37630000,7758
1632168000000,2021-09-20 20:00:00,FIL/USDT,76.63000000,76.92000000,75.10000000,75.91000000,119779.27000000,9111871.95180000,15516
1632164400000,2021-09-20 19:00:00,FIL/USDT,75.28000000,76.84000000,74.48000000,76.67000000,208141.31000000,15705122.39880000,24899
1632160800000,2021-09-20 18:00:00,FIL/USDT,77.06000000,77.34000000,75.04000000,75.29000000,181451.82000000,13768578.03270000,18668
1632157200000,2021-09-20 17:00:00,FIL/USDT,76.74000000,77.49000000,76.31000000,77.06000000,142233.02000000,10942355.78850000,17812
1632153600000,2021-09-20 16:00:00,FIL/USDT,75.75000000,78.70000000,75.46000000,76.74000000,484323.47000000,37482031.71130000,53839
1632150000000,2021-09-20 15:00:00,FIL/USDT,75.42000000,75.95000000,74.40000000,75.74000000,211707.44000000,15914485.66110000,22232
1632146400000,2021-09-20 14:00:00,FIL/USDT,76.05000000,76.07000000,75.03000000,75.42000000,151915.52000000,11466265.02050000,16050
1632142800000,2021-09-20 13:00:00,FIL/USDT,75.23000000,76.32000000,74.35000000,76.06000000,335569.79000000,25323925.11440000,35901
1632139200000,2021-09-20 12:00:00,FIL/USDT,74.22000000,75.88000000,71.31000000,75.22000000,617959.77000000,45469747.00870000,65361
1632135600000,2021-09-20 11:00:00,FIL/USDT,76.26000000,76.34000000,72.92000000,74.23000000,613542.72000000,45920806.69110000,66822
1632132000000,2021-09-20 10:00:00,FIL/USDT,78.23000000,79.08000000,75.66000000,76.27000000,598486.94000000,46217127.03440000,46666
1632128400000,2021-09-20 09:00:00,FIL/USDT,78.79000000,78.97000000,78.05000000,78.23000000,86382.77000000,6779238.73000000,10493
1632124800000,2021-09-20 08:00:00,FIL/USDT,77.69000000,79.15000000,76.64000000,78.79000000,253920.50000000,19859023.91880000,24416
1632121200000,2021-09-20 07:00:00,FIL/USDT,80.53000000,80.88000000,76.50000000,77.72000000,488600.48000000,38159594.00500000,41915
1632117600000,2021-09-20 06:00:00,FIL/USDT,79.79000000,80.69000000,79.64000000,80.52000000,124794.92000000,9994708.33150000,17424
1632114000000,2021-09-20 05:00:00,FIL/USDT,80.16000000,80.60000000,79.44000000,79.78000000,90056.30000000,7209956.70310000,9788
1632110400000,2021-09-20 04:00:00,FIL/USDT,79.88000000,80.45000000,79.09000000,80.17000000,144815.99000000,11563639.17910000,15230
1632106800000,2021-09-20 03:00:00,FIL/USDT,79.87000000,80.53000000,77.68000000,79.89000000,335024.89000000,26538849.69250000,39456
1632103200000,2021-09-20 02:00:00,FIL/USDT,83.00000000,83.05000000,79.39000000,79.87000000,358873.57000000,28994703.61370000,42852
1632099600000,2021-09-20 01:00:00,FIL/USDT,82.28000000,83.11000000,82.06000000,83.01000000,83851.06000000,6939948.87350000,8388
1632096000000,2021-09-20 00:00:00,FIL/USDT,83.54000000,83.69000000,81.92000000,82.30000000,114368.20000000,9423114.43340000,11720
1632092400000,2021-09-19 23:00:00,FIL/USDT,82.27000000,83.61000000,82.20000000,83.53000000,103059.81000000,8557352.65810000,9360
1632088800000,2021-09-19 22:00:00,FIL/USDT,83.68000000,84.15000000,82.20000000,82.27000000,79686.24000000,6597267.68350000,10167
1632085200000,2021-09-19 21:00:00,FIL/USDT,84.23000000,84.33000000,83.32000000,83.69000000,27690.24000000,2320519.47000000,3685
1632081600000,2021-09-19 20:00:00,FIL/USDT,83.69000000,84.38000000,83.42000000,84.24000000,36414.47000000,3058004.76510000,4461
1632078000000,2021-09-19 19:00:00,FIL/USDT,84.25000000,84.37000000,83.54000000,83.67000000,32007.37000000,2686224.64450000,4360
1632074400000,2021-09-19 18:00:00,FIL/USDT,83.50000000,84.51000000,83.29000000,84.24000000,60771.00000000,5109733.51670000,6449
1632070800000,2021-09-19 17:00:00,FIL/USDT,84.19000000,84.50000000,83.20000000,83.51000000,79273.74000000,6637610.83540000,8388
1632067200000,2021-09-19 16:00:00,FIL/USDT,82.67000000,85.15000000,82.50000000,84.20000000,195772.93000000,16481416.50690000,20657
1632063600000,2021-09-19 15:00:00,FIL/USDT,83.02000000,83.23000000,82.61000000,82.68000000,74303.51000000,6158129.16300000,6701
