unix,date,symbol,open,high,low,close,Volume MATIC,Volume USDT,tradecount
1632268800000,2021-09-22 00:00:00,MATIC/USDT,1.04700000,1.07900000,1.04300000,1.06500000,4115064.20000000,4360796.61920000,7290
1632265200000,2021-09-21 23:00:00,MATIC/USDT,1.04100000,1.05600000,1.02600000,1.04700000,12587700.90000000,13110548.21290000,16874
1632261600000,2021-09-21 22:00:00,MATIC/USDT,1.06900000,1.08100000,1.03700000,1.04200000,12212182.50000000,12927775.92760000,17217
1632258000000,2021-09-21 21:00:00,MATIC/USDT,1.05400000,1.08800000,1.01500000,1.06800000,20130395.10000000,21170064.95949800,33368
1632254400000,2021-09-21 20:00:00,MATIC/USDT,1.09400000,1.10500000,1.04400000,1.05500000,18300129.20000000,19530459.16339800,28149
1632250800000,2021-09-21 19:00:00,MATIC/USDT,1.10600000,1.11500000,1.09000000,1.09500000,8102662.80000000,8923190.38680000,12067
1632247200000,2021-09-21 18:00:00,MATIC/USDT,1.10600000,1.12800000,1.10000000,1.10700000,9346897.50000000,10404948.87990000,16729
1632243600000,2021-09-21 17:00:00,MATIC/USDT,1.12400000,1.12900000,1.10000000,1.10700000,10397747.10000000,11566911.00740000,18943
1632240000000,2021-09-21 16:00:00,MATIC/USDT,1.16100000,1.16300000,1.12200000,1.12300000,7221366.40000000,8219403.63260000,13167
1632236400000,2021-09-21 15:00:00,MATIC/USDT,1.13800000,1.16200000,1.13500000,1.16100000,5581055.60000000,6409566.54470000,9561
1632232800000,2021-09-21 14:00:00,MATIC/USDT,1.16600000,1.16900000,1.13100000,1.13800000,8888709.30000000,10197948.66090000,15643
1632229200000,2021-09-21 13:00:00,MATIC/USDT,1.16700000,1.18000000,1.15700000,1.16500000,5615253.60000000,6563083.04860000,11374
1632225600000,2021-09-21 12:00:00,MATIC/USDT,1.17700000,1.18700000,1.16500000,1.16700000,7800230.10000000,9169519.65510000,15245
1632222000000,2021-09-21 11:00:00,MATIC/USDT,1.16800000,1.17900000,1.16000000,1.17800000,5518428.70000000,6458839.47670000,9564
1632218400000,2021-09-21 10:00:00,MATIC/USDT,1.15600000,1.17300000,1.14600000,1.16800000,5512537.10000000,6385154.75370000,9426
1632214800000,2021-09-21 09:00:00,MATIC/USDT,1.17300000,1.17800000,1.15000000,1.15600000,5437170.50000000,6320275.52740000,9725
1632211200000,2021-09-21 08:00:00,MATIC/USDT,1.16800000,1.18000000,1.15700000,1.17300000,5815498.80000000,6792118.16050000,10977
1632207600000,2021-09-21 07:00:00,MATIC/USDT,1.15300000,1.16900000,1.14700000,1.16800000,5460193.40000000,6317433.28640000,9672
1632204000000,2021-09-21 06:00:00,MATIC/USDT,1.13200000,1.15600000,1.13100000,1.15200000,4897676.10000000,5606848.00020000,9679
1632200400000,2021-09-21 05:00:00,MATIC/USDT,1.12900000,1.13600000,1.11700000,1.13200000,5167496.40000000,5816544.17120000,9519
1632196800000,2021-09-21 04:00:00,MATIC/USDT,1.14500000,1.15400000,1.12500000,1.12900000,5415337.30000000,6154139.37220000,10826
1632193200000,2021-09-21 03:00:00,MATIC/USDT,1.15600000,1.16400000,1.14300000,1.14500000,4820884.80000000,5564135.06770000,8557
1632189600000,2021-09-21 02:00:00,MATIC/USDT,1.14600000,1.15900000,1.13900000,1.15600000,5623473.70000000,6471180.65550000,10787
1632186000000,2021-09-21 01:00:00,MATIC/USDT,1.10200000,1.14900000,1.09800000,1.14600000,7943759.40000000,8959605.67870000,17361
1632182400000,2021-09-21 00:00:00,MATIC/USDT,1.13500000,1.13600000,1.06900000,1.10200000,24883467.30000000,27438536.59595400,45788
1632178800000,2021-09-20 23:00:00,MATIC/USDT,1.14400000,1.15600000,1.12100000,1.13500000,10142627.40000000,11478916.20690000,16648
1632175200000,2021-09-20 22:00:00,MATIC/USDT,1.15000000,1.17600000,1.13800000,1.14400000,5948270.30000000,6888018.60720000,11209
1632171600000,2021-09-20 21:00:00,MATIC/USDT,1.15100000,1.16700000,1.14800000,1.15000000,3092494.10000000,3579802.33220000,6613
1632168000000,2021-09-20 20:00:00,MATIC/USDT,1.17700000,1.18200000,1.14100000,1.15000000,7958539.30000000,9243444.92450000,13017
1632164400000,2021-09-20 19:00:00,MATIC/USDT,1.16600000,1.18100000,1.14100000,1.17700000,13706881.10000000,15871476.64190000,22436
1632160800000,2021-09-20 18:00:00,MATIC/USDT,1.20600000,1.20700000,1.16200000,1.16600000,6020299.20000000,7100327.87700000,13206
1632157200000,2021-09-20 17:00:00,MATIC/USDT,1.19600000,1.20900000,1.18900000,1.20600000,3291436.70000000,3944628.54890000,7686
1632153600000,2021-09-20 16:00:00,MATIC/USDT,1.19900000,1.21800000,1.18900000,1.19600000,7320920.80000000,8816480.30870000,13626
1632150000000,2021-09-20 15:00:00,MATIC/USDT,1.19700000,1.21400000,1.18200000,1.19900000,9058858.90000000,10834527.60130000,15672
1632146400000,2021-09-20 14:00:00,MATIC/USDT,1.22500000,1.22500000,1.18800000,1.19700000,9266178.90000000,11157778.85150000,17570
1632142800000,2021-09-20 13:00:00,MATIC/USDT,1.16800000,1.22800000,1.15200000,1.22400000,17298942.60000000,20547951.62380000,39345
1632139200000,2021-09-20 12:00:00,MATIC/USDT,1.15400000,1.17100000,1.09600000,1.16800000,26179517.00000000,29751044.65809000,56949
1632135600000,2021-09-20 11:00:00,MATIC/USDT,1.20800000,1.20900000,1.13600000,1.15300000,25447799.10000000,29701244.18170000,54292
1632132000000,2021-09-20 10:00:00,MATIC/USDT,1.21300000,1.23000000,1.20300000,1.20800000,8372719.30000000,10162072.85770000,15396
1632128400000,2021-09-20 09:00:00,MATIC/USDT,1.22700000,1.23300000,1.20800000,1.21300000,4797813.50000000,5856235.57430000,9431
1632124800000,2021-09-20 08:00:00,MATIC/USDT,1.21000000,1.23200000,1.20200000,1.22700000,7469672.00000000,9103982.43050000,13973
1632121200000,2021-09-20 07:00:00,MATIC/USDT,1.23800000,1.24700000,1.20100000,1.21000000,11763623.80000000,14336184.08340000,24671
1632117600000,2021-09-20 06:00:00,MATIC/USDT,1.25000000,1.25500000,1.22700000,1.23700000,5224327.00000000,6473942.65520000,11116
1632114000000,2021-09-20 05:00:00,MATIC/USDT,1.25100000,1.26200000,1.24200000,1.25000000,4359330.30000000,5456895.83700000,8959
1632110400000,2021-09-20 04:00:00,MATIC/USDT,1.24400000,1.25900000,1.22800000,1.25100000,5531212.00000000,6883892.65760000,14304
1632106800000,2021-09-20 03:00:00,MATIC/USDT,1.26000000,1.26500000,1.23300000,1.24500000,9706429.10000000,12120637.29160000,23660
1632103200000,2021-09-20 02:00:00,MATIC/USDT,1.30100000,1.30300000,1.25700000,1.25900000,9455703.00000000,12030906.86770000,22406
1632099600000,2021-09-20 01:00:00,MATIC/USDT,1.28900000,1.30400000,1.28400000,1.30200000,3035384.10000000,3931994.38180000,5771
