unix,date,symbol,open,high,low,close,Volume MKR,Volume USDT,tradecount
1632268800000,2021-09-22 00:00:00,MKR/USDT,2294.00000000,2345.00000000,2283.00000000,2322.00000000,64.82120000,149894.62360000,423
1632265200000,2021-09-21 23:00:00,MKR/USDT,2259.00000000,2298.00000000,2250.00000000,2293.00000000,155.51910000,353274.69920000,1139
1632261600000,2021-09-21 22:00:00,MKR/USDT,2341.00000000,2361.00000000,2258.00000000,2263.00000000,394.10650000,906699.61260000,1923
1632258000000,2021-09-21 21:00:00,MKR/USDT,2301.00000000,2377.00000000,2226.00000000,2344.00000000,366.00727000,843385.61518200,2767
1632254400000,2021-09-21 20:00:00,MKR/USDT,2398.00000000,2429.00000000,2300.00000000,2307.00000000,220.31170000,516814.76030000,1713
1632250800000,2021-09-21 19:00:00,MKR/USDT,2420.00000000,2441.00000000,2395.00000000,2401.00000000,63.99010000,154470.24550000,489
1632247200000,2021-09-21 18:00:00,MKR/USDT,2430.00000000,2471.00000000,2415.00000000,2424.00000000,81.91510000,200201.85380000,724
1632243600000,2021-09-21 17:00:00,MKR/USDT,2468.00000000,2476.00000000,2417.00000000,2429.00000000,84.59330000,206622.95910000,973
1632240000000,2021-09-21 16:00:00,MKR/USDT,2538.00000000,2540.00000000,2466.00000000,2468.00000000,95.98190000,240105.70170000,948
1632236400000,2021-09-21 15:00:00,MKR/USDT,2469.00000000,2546.00000000,2465.00000000,2538.00000000,136.07670000,341612.24440000,1065
1632232800000,2021-09-21 14:00:00,MKR/USDT,2509.00000000,2509.00000000,2446.00000000,2471.00000000,121.35320000,300349.63500000,1255
1632229200000,2021-09-21 13:00:00,MKR/USDT,2485.00000000,2522.00000000,2475.00000000,2506.00000000,86.32970000,215684.47810000,1033
1632225600000,2021-09-21 12:00:00,MKR/USDT,2511.00000000,2532.00000000,2482.00000000,2485.00000000,89.52410000,223877.09920000,617
1632222000000,2021-09-21 11:00:00,MKR/USDT,2526.00000000,2531.00000000,2506.00000000,2508.00000000,37.04500000,93200.85840000,339
1632218400000,2021-09-21 10:00:00,MKR/USDT,2492.00000000,2540.00000000,2487.00000000,2525.00000000,49.57500000,124459.86610000,375
1632214800000,2021-09-21 09:00:00,MKR/USDT,2519.00000000,2525.00000000,2481.00000000,2488.00000000,176.83390000,443096.52840000,1008
1632211200000,2021-09-21 08:00:00,MKR/USDT,2518.00000000,2536.00000000,2504.00000000,2519.00000000,212.96960000,536461.13390000,1089
1632207600000,2021-09-21 07:00:00,MKR/USDT,2491.00000000,2523.00000000,2481.00000000,2516.00000000,201.09510000,502800.18570000,1098
1632204000000,2021-09-21 06:00:00,MKR/USDT,2471.00000000,2506.00000000,2468.00000000,2489.00000000,195.20780000,486012.03400000,986
1632200400000,2021-09-21 05:00:00,MKR/USDT,2450.00000000,2479.00000000,2423.00000000,2466.00000000,70.31320000,171954.69800000,867
1632196800000,2021-09-21 04:00:00,MKR/USDT,2481.00000000,2496.00000000,2447.00000000,2449.00000000,44.43860000,109595.23470000,315
1632193200000,2021-09-21 03:00:00,MKR/USDT,2454.00000000,2500.00000000,2447.00000000,2482.00000000,181.05990000,448324.14120000,1501
1632189600000,2021-09-21 02:00:00,MKR/USDT,2436.00000000,2469.00000000,2430.00000000,2460.00000000,86.08850000,211265.87060000,548
1632186000000,2021-09-21 01:00:00,MKR/USDT,2348.00000000,2440.00000000,2343.00000000,2439.00000000,153.21750000,368258.03450000,1198
1632182400000,2021-09-21 00:00:00,MKR/USDT,2436.00000000,2438.00000000,2303.00000000,2348.00000000,473.12492000,1112203.64863160,3093
1632178800000,2021-09-20 23:00:00,MKR/USDT,2437.00000000,2456.00000000,2397.00000000,2436.00000000,170.09810000,410945.82410000,1256
1632175200000,2021-09-20 22:00:00,MKR/USDT,2463.00000000,2511.00000000,2414.00000000,2433.00000000,322.61650000,797190.65570000,1741
1632171600000,2021-09-20 21:00:00,MKR/USDT,2485.00000000,2499.00000000,2463.00000000,2463.00000000,165.74840000,411643.25600000,891
1632168000000,2021-09-20 20:00:00,MKR/USDT,2495.00000000,2513.00000000,2450.00000000,2478.00000000,66.50230000,164816.75710000,715
1632164400000,2021-09-20 19:00:00,MKR/USDT,2471.00000000,2495.00000000,2419.00000000,2492.00000000,235.78480000,577116.69710000,1844
1632160800000,2021-09-20 18:00:00,MKR/USDT,2539.00000000,2541.00000000,2459.00000000,2468.00000000,147.10560000,366776.21290000,1406
1632157200000,2021-09-20 17:00:00,MKR/USDT,2529.00000000,2548.00000000,2511.00000000,2537.00000000,59.56000000,150697.31460000,666
1632153600000,2021-09-20 16:00:00,MKR/USDT,2538.00000000,2561.00000000,2506.00000000,2529.00000000,150.67470000,382305.03610000,1265
1632150000000,2021-09-20 15:00:00,MKR/USDT,2519.00000000,2553.00000000,2490.00000000,2540.00000000,202.39280000,509981.41180000,2085
1632146400000,2021-09-20 14:00:00,MKR/USDT,2549.00000000,2551.00000000,2508.00000000,2519.00000000,105.89580000,267835.19580000,810
1632142800000,2021-09-20 13:00:00,MKR/USDT,2484.00000000,2554.00000000,2459.00000000,2548.00000000,302.35620000,757081.16650000,2292
1632139200000,2021-09-20 12:00:00,MKR/USDT,2483.00000000,2540.00000000,2385.00000000,2480.00000000,625.79480000,1538004.01064020,3853
1632135600000,2021-09-20 11:00:00,MKR/USDT,2537.00000000,2543.00000000,2457.00000000,2488.00000000,438.49584000,1096978.54608460,3023
1632132000000,2021-09-20 10:00:00,MKR/USDT,2556.00000000,2590.00000000,2532.00000000,2538.00000000,145.20580000,371287.06007310,1177
1632128400000,2021-09-20 09:00:00,MKR/USDT,2588.00000000,2592.00000000,2551.00000000,2553.00000000,63.93130000,164617.41570000,635
1632124800000,2021-09-20 08:00:00,MKR/USDT,2551.00000000,2594.00000000,2540.00000000,2590.00000000,105.91500000,271881.84820000,1143
1632121200000,2021-09-20 07:00:00,MKR/USDT,2619.00000000,2630.00000000,2535.00000000,2551.00000000,324.00921000,832727.08849800,3369
1632117600000,2021-09-20 06:00:00,MKR/USDT,2635.00000000,2642.00000000,2600.00000000,2614.00000000,92.82720000,242883.48870000,902
1632114000000,2021-09-20 05:00:00,MKR/USDT,2632.00000000,2647.00000000,2621.00000000,2636.00000000,50.94560000,134210.26440000,439
1632110400000,2021-09-20 04:00:00,MKR/USDT,2616.00000000,2644.00000000,2588.00000000,2631.00000000,219.20627000,571932.24210000,1556
1632106800000,2021-09-20 03:00:00,MKR/USDT,2652.00000000,2663.00000000,2601.00000000,2616.00000000,298.91890000,786323.56960940,2819
1632103200000,2021-09-20 02:00:00,MKR/USDT,2750.00000000,2751.00000000,2642.00000000,2650.00000000,340.56350000,910754.38880000,2569
1632099600000,2021-09-20 01:00:00,MKR/USDT,2717.00000000,2755.00000000,2708.00000000,2751.00000000,91.36530000,249790.64280000,435
1632096000000,2021-09-20 00:00:00,MKR/USDT,2770.00000000,2774.00000000,2704.00000000,2720.00000000,160.88080000,437831.86020000,1669
1632092400000,2021-09-19 23:00:00,MKR/USDT,2737.00000000,2770.00000000,2727.00000000,2768.00000000,50.34790000,138671.75500000,482
1632088800000,2021-09-19 22:00:00,MKR/USDT,2789.00000000,2796.00000000,2720.00000000,2737.00000000,138.50860000,381045.22100000,1692
1632085200000,2021-09-19 21:00:00,MKR/USDT,2802.00000000,2806.00000000,2774.00000000,2788.00000000,27.99840000,78047.42270000,245
1632081600000,2021-09-19 20:00:00,MKR/USDT,2772.00000000,2802.00000000,2764.00000000,2801.00000000,59.05840000,164458.18200000,603
