unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1632268800000,2021-09-22 00:00:00,NEO/USDT,37.49000000,38.20000000,37.30000000,37.95000000,15101.79000000,570698.76340000,1537
1632265200000,2021-09-21 23:00:00,NEO/USDT,37.24000000,37.84000000,36.89000000,37.49000000,41759.00000000,1558261.35940000,3876
1632261600000,2021-09-21 22:00:00,NEO/USDT,38.60000000,38.75000000,37.21000000,37.26000000,45632.01000000,1736591.00310000,3991
1632258000000,2021-09-21 21:00:00,NEO/USDT,38.10000000,39.08000000,36.68000000,38.59000000,91336.77800000,3458737.28855900,9499
1632254400000,2021-09-21 20:00:00,NEO/USDT,39.45000000,39.79000000,37.92000000,38.10000000,72870.32900000,2813586.01502700,6776
1632250800000,2021-09-21 19:00:00,NEO/USDT,39.73000000,39.98000000,39.29000000,39.45000000,20298.93000000,803661.03870000,2452
1632247200000,2021-09-21 18:00:00,NEO/USDT,39.58000000,40.38000000,39.43000000,39.75000000,26823.63000000,1070089.00480000,2795
1632243600000,2021-09-21 17:00:00,NEO/USDT,40.26000000,40.40000000,39.45000000,39.57000000,35776.02000000,1426071.42700000,3925
1632240000000,2021-09-21 16:00:00,NEO/USDT,41.25000000,41.36000000,40.14000000,40.25000000,21659.73000000,879220.62980000,2339
1632236400000,2021-09-21 15:00:00,NEO/USDT,40.45000000,41.30000000,40.37000000,41.27000000,16935.65000000,691156.12630000,2026
1632232800000,2021-09-21 14:00:00,NEO/USDT,41.43000000,41.45000000,40.12000000,40.44000000,29350.38000000,1194622.57420000,3287
1632229200000,2021-09-21 13:00:00,NEO/USDT,41.47000000,41.68000000,41.00000000,41.39000000,26282.22000000,1086685.91260000,2427
1632225600000,2021-09-21 12:00:00,NEO/USDT,41.81000000,42.20000000,41.44000000,41.46000000,28415.90000000,1188144.37650000,2778
1632222000000,2021-09-21 11:00:00,NEO/USDT,41.88000000,42.01000000,41.65000000,41.83000000,22623.29000000,946859.95250000,1984
1632218400000,2021-09-21 10:00:00,NEO/USDT,41.46000000,42.04000000,41.27000000,41.90000000,19160.68000000,797935.99390000,1984
1632214800000,2021-09-21 09:00:00,NEO/USDT,41.97000000,42.04000000,39.90000000,41.44000000,43325.55000000,1798227.01280000,3289
1632211200000,2021-09-21 08:00:00,NEO/USDT,41.53000000,42.05000000,41.44000000,41.95000000,23188.22000000,967343.70980000,2553
1632207600000,2021-09-21 07:00:00,NEO/USDT,40.97000000,41.53000000,40.87000000,41.53000000,24014.37000000,988039.70760000,2340
1632204000000,2021-09-21 06:00:00,NEO/USDT,40.42000000,41.15000000,40.42000000,40.94000000,19185.58000000,782490.10050000,2287
1632200400000,2021-09-21 05:00:00,NEO/USDT,40.43000000,40.64000000,39.85000000,40.41000000,27237.55000000,1094186.84890000,2796
1632196800000,2021-09-21 04:00:00,NEO/USDT,41.09000000,41.35000000,40.34000000,40.40000000,15230.16000000,620068.10980000,1899
1632193200000,2021-09-21 03:00:00,NEO/USDT,41.44000000,41.69000000,41.03000000,41.05000000,11270.35000000,466787.05510000,1778
1632189600000,2021-09-21 02:00:00,NEO/USDT,41.16000000,41.60000000,41.01000000,41.48000000,24761.06000000,1023672.00040000,2395
1632186000000,2021-09-21 01:00:00,NEO/USDT,39.58000000,41.21000000,39.49000000,41.17000000,40885.70000000,1655912.57470000,4238
1632182400000,2021-09-21 00:00:00,NEO/USDT,41.55000000,41.57000000,38.63000000,39.56000000,117123.58200000,4661535.65809300,11778
1632178800000,2021-09-20 23:00:00,NEO/USDT,41.69000000,42.14000000,40.97000000,41.57000000,24622.63000000,1018720.48490000,2831
1632175200000,2021-09-20 22:00:00,NEO/USDT,41.96000000,42.60000000,41.47000000,41.68000000,19854.12000000,836996.56060000,2036
1632171600000,2021-09-20 21:00:00,NEO/USDT,41.77000000,42.36000000,41.62000000,41.94000000,11036.64000000,464417.00240000,1600
1632168000000,2021-09-20 20:00:00,NEO/USDT,42.32000000,42.49000000,41.43000000,41.74000000,19124.43000000,801462.83280000,2150
1632164400000,2021-09-20 19:00:00,NEO/USDT,42.02000000,42.38000000,41.30000000,42.32000000,27885.58000000,1166371.97680000,3404
1632160800000,2021-09-20 18:00:00,NEO/USDT,43.28000000,43.34000000,41.89000000,42.02000000,23939.88000000,1017302.82450000,3175
1632157200000,2021-09-20 17:00:00,NEO/USDT,43.07000000,43.46000000,42.83000000,43.27000000,14413.38000000,621305.77240000,1692
1632153600000,2021-09-20 16:00:00,NEO/USDT,42.83000000,43.53000000,42.56000000,43.07000000,26628.34000000,1149139.50690000,3233
1632150000000,2021-09-20 15:00:00,NEO/USDT,42.76000000,43.21000000,42.26000000,42.83000000,32995.98000000,1411184.34870000,3121
1632146400000,2021-09-20 14:00:00,NEO/USDT,43.03000000,43.08000000,42.51000000,42.76000000,32028.67000000,1371701.78100000,3015
1632142800000,2021-09-20 13:00:00,NEO/USDT,42.53000000,43.07000000,41.91000000,43.03000000,54171.61000000,2308121.69140000,4882
1632139200000,2021-09-20 12:00:00,NEO/USDT,42.42000000,42.97000000,40.74000000,42.54000000,100903.94100000,4229186.78752500,10310
1632135600000,2021-09-20 11:00:00,NEO/USDT,43.66000000,43.67000000,41.71000000,42.42000000,85515.12100000,3640816.97811000,8290
1632132000000,2021-09-20 10:00:00,NEO/USDT,43.91000000,44.53000000,43.36000000,43.66000000,48521.61000000,2129933.89488000,4278
1632128400000,2021-09-20 09:00:00,NEO/USDT,44.43000000,44.63000000,43.84000000,43.92000000,28452.12000000,1259581.59350000,2361
1632124800000,2021-09-20 08:00:00,NEO/USDT,43.92000000,44.53000000,43.66000000,44.45000000,24043.79000000,1061839.15890000,3000
1632121200000,2021-09-20 07:00:00,NEO/USDT,45.09000000,45.38000000,43.53000000,43.93000000,52215.04000000,2307902.65980000,5374
1632117600000,2021-09-20 06:00:00,NEO/USDT,45.36000000,45.55000000,44.69000000,45.09000000,22751.75000000,1025877.50480000,2081
1632114000000,2021-09-20 05:00:00,NEO/USDT,45.31000000,45.70000000,45.17000000,45.36000000,24057.48000000,1091567.08830000,2131
1632110400000,2021-09-20 04:00:00,NEO/USDT,44.67000000,45.40000000,44.25000000,45.32000000,41622.11000000,1870362.71480000,3831
1632106800000,2021-09-20 03:00:00,NEO/USDT,45.23000000,45.59000000,44.15000000,44.68000000,48276.26000000,2167726.42890000,5478
1632103200000,2021-09-20 02:00:00,NEO/USDT,47.19000000,47.23000000,44.92000000,45.23000000,60878.59000000,2782162.26100000,6642
1632099600000,2021-09-20 01:00:00,NEO/USDT,46.57000000,47.36000000,46.33000000,47.19000000,13793.49000000,647301.60090000,1550
1632096000000,2021-09-20 00:00:00,NEO/USDT,48.14000000,48.26000000,46.26000000,46.58000000,56107.49000000,2627302.92840000,5947
1632092400000,2021-09-19 23:00:00,NEO/USDT,47.67000000,48.22000000,47.55000000,48.16000000,19411.13000000,929837.30880000,1576
1632088800000,2021-09-19 22:00:00,NEO/USDT,48.59000000,48.76000000,47.30000000,47.68000000,40430.95000000,1933461.04560000,5397
1632085200000,2021-09-19 21:00:00,NEO/USDT,48.79000000,48.85000000,48.40000000,48.61000000,6795.88000000,330348.89340000,886
1632081600000,2021-09-19 20:00:00,NEO/USDT,48.44000000,48.86000000,48.29000000,48.80000000,9120.78000000,443212.45320000,1338
1632078000000,2021-09-19 19:00:00,NEO/USDT,49.00000000,49.05000000,48.39000000,48.46000000,13078.64000000,636350.66040000,1552
1632074400000,2021-09-19 18:00:00,NEO/USDT,48.79000000,49.25000000,48.68000000,49.00000000,12379.98000000,606525.68260000,1210
1632070800000,2021-09-19 17:00:00,NEO/USDT,49.04000000,49.25000000,48.68000000,48.79000000,12718.37000000,622587.71030000,1341
1632067200000,2021-09-19 16:00:00,NEO/USDT,49.34000000,49.48000000,49.02000000,49.02000000,14035.56000000,690078.55580000,1489
1632063600000,2021-09-19 15:00:00,NEO/USDT,49.12000000,49.58000000,48.92000000,49.32000000,17202.85000000,846440.81010000,1619
1632060000000,2021-09-19 14:00:00,NEO/USDT,49.09000000,49.31000000,48.96000000,49.12000000,17267.43000000,849075.14660000,1355
1632056400000,2021-09-19 13:00:00,NEO/USDT,48.64000000,49.13000000,48.53000000,49.12000000,13191.78000000,644501.61230000,1229
1632052800000,2021-09-19 12:00:00,NEO/USDT,48.46000000,48.88000000,48.27000000,48.64000000,22890.30000000,1112261.58720000,2424
1632049200000,2021-09-19 11:00:00,NEO/USDT,49.56000000,49.61000000,48.25000000,48.49000000,34670.41000000,1693220.65990000,3992
1632045600000,2021-09-19 10:00:00,NEO/USDT,49.97000000,50.03000000,49.53000000,49.54000000,12166.88000000,605397.04870000,1290
1632042000000,2021-09-19 09:00:00,NEO/USDT,50.12000000,50.43000000,49.87000000,49.97000000,29751.24000000,1493137.16680000,2998
1632038400000,2021-09-19 08:00:00,NEO/USDT,49.55000000,50.14000000,49.47000000,50.12000000,20858.32000000,1037832.94090000,2211
1632034800000,2021-09-19 07:00:00,NEO/USDT,49.45000000,49.66000000,49.35000000,49.52000000,8797.23000000,435836.28860000,1064
1632031200000,2021-09-19 06:00:00,NEO/USDT,49.43000000,49.57000000,49.28000000,49.44000000,8505.59000000,420167.23870000,1174
1632027600000,2021-09-19 05:00:00,NEO/USDT,49.20000000,49.47000000,49.05000000,49.42000000,5401.06000000,266280.47120000,939
1632024000000,2021-09-19 04:00:00,NEO/USDT,49.04000000,49.47000000,48.96000000,49.21000000,10408.03000000,512150.73420000,1043
1632020400000,2021-09-19 03:00:00,NEO/USDT,49.29000000,49.35000000,48.95000000,49.03000000,4844.44000000,237745.42740000,607
1632016800000,2021-09-19 02:00:00,NEO/USDT,49.17000000,49.36000000,49.01000000,49.29000000,5741.55000000,282578.48330000,803
1632013200000,2021-09-19 01:00:00,NEO/USDT,48.87000000,49.28000000,48.64000000,49.22000000,13569.47000000,662791.26430000,1322
1632009600000,2021-09-19 00:00:00,NEO/USDT,49.67000000,49.72000000,48.84000000,48.87000000,19999.24000000,985377.47360000,1399
1632006000000,2021-09-18 23:00:00,NEO/USDT,49.33000000,49.80000000,49.17000000,49.65000000,11939.40000000,591388.66720000,1288
1632002400000,2021-09-18 22:00:00,NEO/USDT,49.03000000,49.43000000,48.97000000,49.37000000,8080.82000000,398084.03050000,991
1631998800000,2021-09-18 21:00:00,NEO/USDT,49.00000000,49.38000000,48.92000000,49.08000000,12158.28000000,598167.32800000,1342
1631995200000,2021-09-18 20:00:00,NEO/USDT,49.72000000,49.73000000,48.82000000,49.01000000,25818.98000000,1267719.42940000,2502
1631991600000,2021-09-18 19:00:00,NEO/USDT,49.45000000,49.73000000,49.22000000,49.71000000,25137.17000000,1243836.05520000,1552
1631988000000,2021-09-18 18:00:00,NEO/USDT,49.71000000,49.71000000,49.32000000,49.44000000,14028.80000000,694234.70070000,1481
1631984400000,2021-09-18 17:00:00,NEO/USDT,49.58000000,49.77000000,49.27000000,49.74000000,18942.05000000,938512.13800000,1840
1631980800000,2021-09-18 16:00:00,NEO/USDT,50.50000000,50.56000000,49.52000000,49.61000000,26065.05000000,1304513.04210000,2724
1631977200000,2021-09-18 15:00:00,NEO/USDT,50.15000000,50.76000000,49.99000000,50.49000000,58877.51000000,2968734.53580000,5626
1631973600000,2021-09-18 14:00:00,NEO/USDT,49.66000000,50.20000000,49.61000000,50.13000000,19950.34000000,995123.54000000,1692
1631970000000,2021-09-18 13:00:00,NEO/USDT,49.54000000,49.74000000,49.36000000,49.65000000,12883.73000000,638814.19720000,1283
1631966400000,2021-09-18 12:00:00,NEO/USDT,49.58000000,49.90000000,49.44000000,49.54000000,11486.74000000,570657.63580000,1308
1631962800000,2021-09-18 11:00:00,NEO/USDT,49.78000000,50.14000000,49.48000000,49.53000000,17135.51000000,854617.55790000,1585
1631959200000,2021-09-18 10:00:00,NEO/USDT,49.64000000,50.03000000,49.58000000,49.78000000,16900.43000000,841741.04950000,1519
1631955600000,2021-09-18 09:00:00,NEO/USDT,49.90000000,49.98000000,49.46000000,49.64000000,15709.33000000,780767.05090000,1587
1631952000000,2021-09-18 08:00:00,NEO/USDT,49.98000000,50.19000000,49.80000000,49.91000000,19779.64000000,989111.41080000,1972
1631948400000,2021-09-18 07:00:00,NEO/USDT,49.91000000,50.07000000,49.79000000,49.97000000,19021.86000000,949892.59230000,1618
1631944800000,2021-09-18 06:00:00,NEO/USDT,50.00000000,50.08000000,49.72000000,49.91000000,19372.87000000,966575.18910000,1764
1631941200000,2021-09-18 05:00:00,NEO/USDT,49.66000000,50.03000000,49.43000000,49.96000000,25280.02000000,1257776.06720000,2134
1631937600000,2021-09-18 04:00:00,NEO/USDT,49.22000000,49.70000000,49.22000000,49.66000000,15925.42000000,789065.25630000,1574
1631934000000,2021-09-18 03:00:00,NEO/USDT,48.88000000,49.30000000,48.87000000,49.20000000,14012.50000000,688227.31890000,1340
1631930400000,2021-09-18 02:00:00,NEO/USDT,49.16000000,49.34000000,48.85000000,48.87000000,14851.73000000,728936.20630000,1290
1631926800000,2021-09-18 01:00:00,NEO/USDT,49.02000000,49.23000000,48.80000000,49.16000000,10485.15000000,514424.95420000,1261
1631923200000,2021-09-18 00:00:00,NEO/USDT,48.77000000,49.03000000,48.08000000,49.03000000,17965.09000000,869332.45380000,2135
1631919600000,2021-09-17 23:00:00,NEO/USDT,48.27000000,48.84000000,48.20000000,48.77000000,12521.01000000,607866.88130000,1330
1631916000000,2021-09-17 22:00:00,NEO/USDT,48.67000000,49.08000000,48.20000000,48.27000000,14917.37000000,726862.41980000,1615
1631912400000,2021-09-17 21:00:00,NEO/USDT,48.37000000,48.67000000,48.10000000,48.67000000,18487.90000000,893297.83400000,2105
1631908800000,2021-09-17 20:00:00,NEO/USDT,49.15000000,49.19000000,48.36000000,48.39000000,14594.42000000,712136.03600000,1520
1631905200000,2021-09-17 19:00:00,NEO/USDT,48.71000000,49.14000000,48.57000000,49.12000000,14838.71000000,725295.36490000,1311
1631901600000,2021-09-17 18:00:00,NEO/USDT,48.90000000,49.02000000,48.24000000,48.72000000,23285.49000000,1129697.06390000,2363
1631898000000,2021-09-17 17:00:00,NEO/USDT,49.49000000,49.57000000,48.75000000,48.90000000,22124.17000000,1088893.69960000,1492
1631894400000,2021-09-17 16:00:00,NEO/USDT,49.26000000,49.55000000,48.90000000,49.48000000,10484.03000000,517018.00690000,1236
1631890800000,2021-09-17 15:00:00,NEO/USDT,49.49000000,49.54000000,48.73000000,49.26000000,49218.46000000,2418193.30180000,3035
1631887200000,2021-09-17 14:00:00,NEO/USDT,49.00000000,49.71000000,48.96000000,49.49000000,21714.09000000,1072859.88470000,2068
1631883600000,2021-09-17 13:00:00,NEO/USDT,49.20000000,49.33000000,48.64000000,49.00000000,18177.62000000,890699.74300000,2107
1631880000000,2021-09-17 12:00:00,NEO/USDT,48.81000000,49.25000000,48.27000000,49.19000000,29458.25000000,1436050.52290000,3390
1631876400000,2021-09-17 11:00:00,NEO/USDT,49.22000000,49.65000000,48.67000000,48.83000000,25549.48000000,1255242.18610000,2315
1631872800000,2021-09-17 10:00:00,NEO/USDT,49.99000000,50.11000000,48.77000000,49.23000000,43072.77000000,2127540.41990000,5090
1631869200000,2021-09-17 09:00:00,NEO/USDT,50.59000000,50.79000000,49.94000000,49.99000000,22665.74000000,1140250.91690000,2140
1631865600000,2021-09-17 08:00:00,NEO/USDT,50.47000000,50.71000000,50.16000000,50.59000000,18534.56000000,936569.89240000,1631
1631862000000,2021-09-17 07:00:00,NEO/USDT,50.84000000,50.94000000,50.29000000,50.47000000,17876.86000000,905324.43510000,1622
1631858400000,2021-09-17 06:00:00,NEO/USDT,50.91000000,50.97000000,50.34000000,50.83000000,16702.65000000,844782.40740000,1619
1631854800000,2021-09-17 05:00:00,NEO/USDT,50.90000000,51.21000000,50.68000000,50.90000000,15657.67000000,797316.32460000,1905
1631851200000,2021-09-17 04:00:00,NEO/USDT,50.59000000,50.90000000,50.16000000,50.88000000,16605.37000000,838945.55080000,1678
1631847600000,2021-09-17 03:00:00,NEO/USDT,50.09000000,50.66000000,49.89000000,50.59000000,17627.02000000,887741.28110000,1935
1631844000000,2021-09-17 02:00:00,NEO/USDT,50.78000000,50.83000000,50.06000000,50.08000000,7982.11000000,401846.02430000,911
1631840400000,2021-09-17 01:00:00,NEO/USDT,49.92000000,50.84000000,49.83000000,50.75000000,11489.40000000,579900.24760000,1290
1631836800000,2021-09-17 00:00:00,NEO/USDT,50.62000000,50.68000000,49.92000000,49.94000000,9918.44000000,499710.80080000,1251
1631833200000,2021-09-16 23:00:00,NEO/USDT,50.61000000,50.80000000,50.38000000,50.62000000,9930.22000000,502721.80880000,1230
1631829600000,2021-09-16 22:00:00,NEO/USDT,50.49000000,50.65000000,50.28000000,50.63000000,8267.42000000,417067.77310000,976
1631826000000,2021-09-16 21:00:00,NEO/USDT,49.46000000,50.51000000,49.42000000,50.49000000,20798.80000000,1041857.94980000,3184
1631822400000,2021-09-16 20:00:00,NEO/USDT,50.57000000,50.80000000,49.17000000,49.47000000,38744.77000000,1932348.59350000,5600
1631818800000,2021-09-16 19:00:00,NEO/USDT,50.80000000,50.95000000,50.53000000,50.56000000,13570.34000000,688715.64800000,1509
1631815200000,2021-09-16 18:00:00,NEO/USDT,50.58000000,50.84000000,50.38000000,50.78000000,14714.01000000,744492.59260000,2263
1631811600000,2021-09-16 17:00:00,NEO/USDT,50.88000000,51.19000000,50.54000000,50.60000000,28394.58000000,1441885.36330000,2658
1631808000000,2021-09-16 16:00:00,NEO/USDT,51.14000000,51.27000000,50.83000000,50.89000000,24634.16000000,1257375.40100000,2844
1631804400000,2021-09-16 15:00:00,NEO/USDT,50.78000000,51.53000000,50.58000000,51.14000000,42352.03000000,2159061.71370000,3887
1631800800000,2021-09-16 14:00:00,NEO/USDT,50.78000000,51.14000000,50.02000000,50.80000000,50395.06000000,2554188.24880000,5503
1631797200000,2021-09-16 13:00:00,NEO/USDT,51.89000000,52.07000000,50.71000000,50.77000000,31934.66000000,1640525.49540000,3892
1631793600000,2021-09-16 12:00:00,NEO/USDT,51.61000000,52.03000000,51.38000000,51.91000000,24407.46000000,1261730.69260000,2482
1631790000000,2021-09-16 11:00:00,NEO/USDT,51.37000000,51.78000000,51.29000000,51.63000000,12101.54000000,624438.36670000,1689
1631786400000,2021-09-16 10:00:00,NEO/USDT,51.87000000,52.19000000,51.32000000,51.37000000,23351.42000000,1207675.73060000,2888
1631782800000,2021-09-16 09:00:00,NEO/USDT,51.97000000,52.70000000,51.83000000,51.88000000,30815.42000000,1609751.96650000,3144
1631779200000,2021-09-16 08:00:00,NEO/USDT,52.64000000,52.70000000,51.79000000,51.99000000,32022.58000000,1668262.74240000,3536
1631775600000,2021-09-16 07:00:00,NEO/USDT,52.66000000,52.84000000,52.51000000,52.61000000,19024.78000000,1002145.33830000,2332
1631772000000,2021-09-16 06:00:00,NEO/USDT,52.33000000,52.67000000,52.25000000,52.65000000,13866.17000000,726958.32730000,1729
1631768400000,2021-09-16 05:00:00,NEO/USDT,52.35000000,52.60000000,52.15000000,52.32000000,23662.38000000,1240251.96110000,2473
1631764800000,2021-09-16 04:00:00,NEO/USDT,51.45000000,52.48000000,51.43000000,52.33000000,31964.28000000,1667162.91100000,3640
1631761200000,2021-09-16 03:00:00,NEO/USDT,51.86000000,51.91000000,50.84000000,51.48000000,34978.52000000,1794369.82590000,4420
1631757600000,2021-09-16 02:00:00,NEO/USDT,52.29000000,52.38000000,51.55000000,51.85000000,18898.54000000,982669.41830000,2220
1631754000000,2021-09-16 01:00:00,NEO/USDT,52.00000000,52.54000000,51.91000000,52.28000000,20232.94000000,1057279.45620000,2108
1631750400000,2021-09-16 00:00:00,NEO/USDT,52.78000000,53.10000000,52.00000000,52.00000000,32224.08000000,1693113.32420000,4515
1631746800000,2021-09-15 23:00:00,NEO/USDT,52.52000000,52.81000000,52.31000000,52.79000000,11722.09000000,615746.27130000,1355
1631743200000,2021-09-15 22:00:00,NEO/USDT,52.34000000,52.89000000,52.22000000,52.54000000,22821.76000000,1199770.44900000,4067
1631739600000,2021-09-15 21:00:00,NEO/USDT,51.81000000,52.37000000,51.78000000,52.34000000,14420.42000000,751574.65140000,1745
1631736000000,2021-09-15 20:00:00,NEO/USDT,52.23000000,52.42000000,51.76000000,51.81000000,15519.14000000,808763.64250000,1840
1631732400000,2021-09-15 19:00:00,NEO/USDT,52.35000000,52.37000000,51.88000000,52.26000000,14815.95000000,771574.23670000,1683
1631728800000,2021-09-15 18:00:00,NEO/USDT,52.20000000,52.40000000,51.80000000,52.37000000,22482.50000000,1170403.02940000,2324
1631725200000,2021-09-15 17:00:00,NEO/USDT,52.06000000,52.57000000,51.85000000,52.19000000,27160.53000000,1420508.43750000,4076
1631721600000,2021-09-15 16:00:00,NEO/USDT,52.21000000,52.24000000,51.98000000,52.08000000,17116.84000000,892314.79070000,1879
1631718000000,2021-09-15 15:00:00,NEO/USDT,51.66000000,52.29000000,51.61000000,52.21000000,32205.18000000,1677291.84790000,3309
1631714400000,2021-09-15 14:00:00,NEO/USDT,52.10000000,52.19000000,51.51000000,51.66000000,29736.70000000,1541749.80730000,3033
1631710800000,2021-09-15 13:00:00,NEO/USDT,51.41000000,52.20000000,51.22000000,52.12000000,28131.99000000,1456562.46500000,2411
1631707200000,2021-09-15 12:00:00,NEO/USDT,51.54000000,51.91000000,51.37000000,51.39000000,21699.87000000,1120602.34490000,1928
1631703600000,2021-09-15 11:00:00,NEO/USDT,51.85000000,51.87000000,51.25000000,51.55000000,25768.67000000,1328258.26610000,2273
1631700000000,2021-09-15 10:00:00,NEO/USDT,51.30000000,52.10000000,51.25000000,51.85000000,24264.84000000,1256323.93040000,2737
