unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1632268800000,2021-09-22 00:00:00,SOL/USDT,124.30000000,128.88000000,123.56000000,127.11000000,203367.59000000,25724131.89360000,32301
1632265200000,2021-09-21 23:00:00,SOL/USDT,122.72000000,125.79000000,121.31000000,124.29000000,351121.09000000,43284710.74160000,53463
1632261600000,2021-09-21 22:00:00,SOL/USDT,127.08000000,128.72000000,122.15000000,122.71000000,424594.02000000,53350443.54450000,61848
1632258000000,2021-09-21 21:00:00,SOL/USDT,123.08000000,128.52000000,116.00000000,127.06000000,1152003.88000000,141783639.84890000,160956
1632254400000,2021-09-21 20:00:00,SOL/USDT,127.18000000,128.86000000,121.50000000,123.12000000,817277.86000000,101083464.39660000,133633
1632250800000,2021-09-21 19:00:00,SOL/USDT,130.67000000,131.33000000,127.09000000,127.16000000,355074.59000000,45681990.42980000,54649
1632247200000,2021-09-21 18:00:00,SOL/USDT,130.48000000,134.02000000,130.19000000,130.69000000,335888.42000000,44405868.08350000,49350
1632243600000,2021-09-21 17:00:00,SOL/USDT,134.25000000,134.70000000,129.32000000,130.46000000,494941.27000000,65145677.37970000,73855
1632240000000,2021-09-21 16:00:00,SOL/USDT,138.51000000,138.52000000,133.86000000,134.25000000,268272.62000000,36438969.03170000,40237
1632236400000,2021-09-21 15:00:00,SOL/USDT,136.76000000,138.58000000,135.94000000,138.50000000,207797.55000000,28568776.44700000,32197
1632232800000,2021-09-21 14:00:00,SOL/USDT,140.33000000,140.59000000,135.62000000,136.77000000,365246.56000000,50189004.32690000,58066
1632229200000,2021-09-21 13:00:00,SOL/USDT,139.77000000,141.98000000,138.62000000,140.36000000,248941.32000000,34874089.10630000,42402
1632225600000,2021-09-21 12:00:00,SOL/USDT,142.75000000,143.39000000,139.55000000,139.67000000,247025.51000000,34984256.18220000,38134
1632222000000,2021-09-21 11:00:00,SOL/USDT,143.66000000,144.20000000,141.57000000,142.74000000,237296.95000000,33836763.50280000,35462
1632218400000,2021-09-21 10:00:00,SOL/USDT,141.17000000,144.20000000,140.29000000,143.66000000,207476.88000000,29515732.33240000,35599
1632214800000,2021-09-21 09:00:00,SOL/USDT,143.53000000,144.00000000,140.56000000,141.18000000,234518.09000000,33407147.09160000,37928
1632211200000,2021-09-21 08:00:00,SOL/USDT,143.44000000,144.64000000,141.68000000,143.55000000,338287.71000000,48465701.13580000,55075
1632207600000,2021-09-21 07:00:00,SOL/USDT,141.65000000,143.76000000,138.11000000,143.47000000,329013.00000000,46260279.26490000,57436
1632204000000,2021-09-21 06:00:00,SOL/USDT,137.57000000,141.72000000,137.21000000,141.65000000,295398.29000000,41267603.23160000,60112
1632200400000,2021-09-21 05:00:00,SOL/USDT,135.31000000,138.22000000,133.63000000,137.53000000,290797.99000000,39542318.55820000,47568
1632196800000,2021-09-21 04:00:00,SOL/USDT,136.45000000,138.29000000,134.47000000,135.31000000,203585.62000000,27674884.45690000,33913
1632193200000,2021-09-21 03:00:00,SOL/USDT,139.51000000,140.11000000,136.00000000,136.43000000,251710.88000000,34654638.10510000,38040
1632189600000,2021-09-21 02:00:00,SOL/USDT,138.81000000,140.76000000,138.13000000,139.52000000,358749.06000000,50023457.22510000,58588
1632186000000,2021-09-21 01:00:00,SOL/USDT,132.37000000,141.72000000,131.17000000,138.74000000,520453.42000000,71424626.65580000,98049
1632182400000,2021-09-21 00:00:00,SOL/USDT,132.77000000,135.11000000,125.22000000,132.36000000,1073395.14000000,139529451.74080000,177545
1632178800000,2021-09-20 23:00:00,SOL/USDT,137.24000000,139.37000000,131.42000000,132.77000000,434991.52000000,58397968.22070000,81866
1632175200000,2021-09-20 22:00:00,SOL/USDT,138.26000000,142.39000000,136.52000000,137.18000000,252433.50000000,35308712.86370000,50189
1632171600000,2021-09-20 21:00:00,SOL/USDT,137.92000000,140.38000000,137.07000000,138.30000000,140252.12000000,19486538.25010000,32413
1632168000000,2021-09-20 20:00:00,SOL/USDT,138.88000000,139.24000000,135.26000000,137.90000000,291679.99000000,40171646.99000000,48835
1632164400000,2021-09-20 19:00:00,SOL/USDT,138.55000000,139.56000000,133.17000000,138.82000000,637126.70000000,87015517.88230000,104912
1632160800000,2021-09-20 18:00:00,SOL/USDT,144.66000000,144.99000000,137.62000000,138.49000000,345324.40000000,48589279.90150000,60981
1632157200000,2021-09-20 17:00:00,SOL/USDT,143.17000000,145.40000000,142.12000000,144.67000000,172888.50000000,24864709.53000000,29189
1632153600000,2021-09-20 16:00:00,SOL/USDT,144.07000000,146.00000000,142.21000000,143.17000000,298157.88000000,43000333.19390000,49722
1632150000000,2021-09-20 15:00:00,SOL/USDT,143.12000000,146.21000000,141.02000000,144.10000000,434500.31000000,62565165.31000000,69464
1632146400000,2021-09-20 14:00:00,SOL/USDT,144.82000000,148.50000000,141.42000000,143.12000000,779454.70000000,112538245.46320000,110251
1632142800000,2021-09-20 13:00:00,SOL/USDT,139.05000000,144.85000000,136.62000000,144.83000000,814126.86000000,115243781.13560000,134602
1632139200000,2021-09-20 12:00:00,SOL/USDT,137.48000000,139.83000000,130.26000000,139.05000000,932224.15000000,125898997.15400000,162486
1632135600000,2021-09-20 11:00:00,SOL/USDT,140.42000000,140.67000000,134.20000000,137.48000000,706206.61000000,96847404.97190000,99612
1632132000000,2021-09-20 10:00:00,SOL/USDT,140.04000000,144.00000000,138.26000000,140.41000000,457859.90000000,64697503.11120000,69508
1632128400000,2021-09-20 09:00:00,SOL/USDT,141.17000000,142.48000000,139.20000000,140.05000000,299227.58000000,42214952.86540000,40165
1632124800000,2021-09-20 08:00:00,SOL/USDT,139.18000000,142.44000000,138.06000000,141.18000000,408864.00000000,57599204.74880000,64625
1632121200000,2021-09-20 07:00:00,SOL/USDT,143.51000000,144.34000000,136.60000000,139.18000000,699310.94000000,97575848.85500000,103181
1632117600000,2021-09-20 06:00:00,SOL/USDT,145.21000000,146.10000000,141.44000000,143.49000000,223554.56000000,32038658.45000000,43117
1632114000000,2021-09-20 05:00:00,SOL/USDT,145.02000000,146.40000000,143.66000000,145.19000000,183240.36000000,26593969.58440000,30249
1632110400000,2021-09-20 04:00:00,SOL/USDT,145.10000000,145.86000000,141.65000000,145.02000000,277102.85000000,39925091.86090000,55897
1632106800000,2021-09-20 03:00:00,SOL/USDT,146.53000000,147.20000000,142.66000000,145.12000000,405267.86000000,58713075.80580000,71914
1632103200000,2021-09-20 02:00:00,SOL/USDT,151.53000000,151.83000000,145.00000000,146.49000000,390369.21000000,57504120.77950000,70732
1632099600000,2021-09-20 01:00:00,SOL/USDT,149.16000000,152.47000000,148.98000000,151.53000000,187609.53000000,28320178.25590000,33230
1632096000000,2021-09-20 00:00:00,SOL/USDT,152.78000000,153.43000000,147.43000000,149.16000000,381594.68000000,56999939.40540000,59163
1632092400000,2021-09-19 23:00:00,SOL/USDT,151.83000000,154.15000000,151.47000000,152.76000000,118283.61000000,18067975.74710000,24225
1632088800000,2021-09-19 22:00:00,SOL/USDT,154.91000000,155.11000000,150.60000000,151.85000000,250036.56000000,38079500.82540000,54921
1632085200000,2021-09-19 21:00:00,SOL/USDT,156.33000000,156.58000000,154.15000000,154.91000000,92284.14000000,14344861.76590000,19476
1632081600000,2021-09-19 20:00:00,SOL/USDT,154.38000000,156.67000000,153.89000000,156.34000000,113509.95000000,17657653.88830000,25033
1632078000000,2021-09-19 19:00:00,SOL/USDT,157.57000000,158.11000000,153.22000000,154.38000000,172607.71000000,26864992.64220000,43558
1632074400000,2021-09-19 18:00:00,SOL/USDT,156.95000000,159.16000000,156.25000000,157.56000000,112107.33000000,17688309.94840000,25731
1632070800000,2021-09-19 17:00:00,SOL/USDT,157.08000000,158.62000000,156.11000000,156.94000000,139439.22000000,21922821.15080000,29800
1632067200000,2021-09-19 16:00:00,SOL/USDT,159.41000000,160.27000000,156.52000000,157.09000000,247307.06000000,39072068.27920000,43665
1632063600000,2021-09-19 15:00:00,SOL/USDT,161.41000000,161.99000000,159.29000000,159.38000000,163381.55000000,26244592.42400000,32474
1632060000000,2021-09-19 14:00:00,SOL/USDT,159.40000000,162.09000000,158.51000000,161.43000000,215704.71000000,34687239.32570000,41693
1632056400000,2021-09-19 13:00:00,SOL/USDT,158.94000000,160.65000000,158.05000000,159.41000000,186199.55000000,29691540.21700000,41317
1632052800000,2021-09-19 12:00:00,SOL/USDT,156.09000000,159.48000000,155.42000000,158.93000000,296257.27000000,46644623.65380000,52583
1632049200000,2021-09-19 11:00:00,SOL/USDT,159.82000000,160.82000000,155.02000000,156.14000000,422004.38000000,66475165.14430000,72576
1632045600000,2021-09-19 10:00:00,SOL/USDT,161.95000000,162.68000000,158.59000000,159.84000000,198190.63000000,31730115.19490000,41936
1632042000000,2021-09-19 09:00:00,SOL/USDT,162.77000000,163.18000000,161.23000000,161.94000000,124889.99000000,20244740.18560000,30449
