unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1632268800000,2021-09-22 00:00:00,XMR/USDT,218.20000000,220.30000000,216.80000000,219.10000000,3133.73600000,687012.27540000,1256
1632265200000,2021-09-21 23:00:00,XMR/USDT,215.80000000,218.60000000,214.50000000,218.00000000,3846.69900000,831090.59250000,1832
1632261600000,2021-09-21 22:00:00,XMR/USDT,220.60000000,223.30000000,215.30000000,215.70000000,6120.41300000,1342366.31200000,2856
1632258000000,2021-09-21 21:00:00,XMR/USDT,218.70000000,224.60000000,212.00000000,220.70000000,10985.65401000,2396136.88256790,5457
1632254400000,2021-09-21 20:00:00,XMR/USDT,223.10000000,224.70000000,217.00000000,218.70000000,8815.94400000,1938732.15570000,4795
1632250800000,2021-09-21 19:00:00,XMR/USDT,224.10000000,225.30000000,221.00000000,223.20000000,6657.80200000,1485102.96520000,4012
1632247200000,2021-09-21 18:00:00,XMR/USDT,222.60000000,227.20000000,222.20000000,224.20000000,6632.38600000,1492375.61110000,3442
1632243600000,2021-09-21 17:00:00,XMR/USDT,228.40000000,229.30000000,221.50000000,222.50000000,10910.59300000,2449247.08650000,7179
1632240000000,2021-09-21 16:00:00,XMR/USDT,233.50000000,234.00000000,228.30000000,228.40000000,4158.32900000,960509.06600000,2040
1632236400000,2021-09-21 15:00:00,XMR/USDT,230.00000000,233.70000000,229.50000000,233.40000000,2853.20600000,660447.28860000,1750
1632232800000,2021-09-21 14:00:00,XMR/USDT,232.80000000,233.10000000,228.40000000,230.00000000,5188.50300000,1194939.76820000,2562
1632229200000,2021-09-21 13:00:00,XMR/USDT,231.60000000,234.60000000,230.90000000,232.80000000,4889.85600000,1138551.80510000,2518
1632225600000,2021-09-21 12:00:00,XMR/USDT,235.00000000,236.70000000,231.60000000,231.60000000,5765.22500000,1349926.85170000,2923
1632222000000,2021-09-21 11:00:00,XMR/USDT,235.20000000,236.50000000,234.10000000,235.00000000,3820.63600000,898643.89880000,2205
1632218400000,2021-09-21 10:00:00,XMR/USDT,234.10000000,236.60000000,232.70000000,235.30000000,3911.28100000,917722.07660000,2142
1632214800000,2021-09-21 09:00:00,XMR/USDT,236.70000000,237.30000000,233.30000000,234.00000000,6427.76900000,1510929.10380000,3095
1632211200000,2021-09-21 08:00:00,XMR/USDT,235.30000000,237.50000000,233.90000000,236.70000000,4495.30500000,1059674.94930000,2579
1632207600000,2021-09-21 07:00:00,XMR/USDT,231.40000000,235.40000000,231.20000000,235.30000000,4142.37300000,965713.16310000,2341
1632204000000,2021-09-21 06:00:00,XMR/USDT,228.70000000,232.20000000,228.70000000,231.40000000,2994.10700000,690759.13640000,1719
1632200400000,2021-09-21 05:00:00,XMR/USDT,227.00000000,229.60000000,224.70000000,228.70000000,3791.43900000,859200.36030000,2241
1632196800000,2021-09-21 04:00:00,XMR/USDT,229.30000000,230.50000000,226.40000000,227.00000000,3347.91100000,763258.15020000,1911
1632193200000,2021-09-21 03:00:00,XMR/USDT,231.20000000,232.30000000,229.00000000,229.40000000,2647.84300000,611529.82800000,1710
1632189600000,2021-09-21 02:00:00,XMR/USDT,228.90000000,231.90000000,228.30000000,231.30000000,4583.86900000,1056374.90510000,2207
1632186000000,2021-09-21 01:00:00,XMR/USDT,221.80000000,229.80000000,221.20000000,229.00000000,9783.10700000,2209697.88750000,4815
1632182400000,2021-09-21 00:00:00,XMR/USDT,232.70000000,232.80000000,216.50000000,221.70000000,23732.41974000,5274527.39752550,10814
1632178800000,2021-09-20 23:00:00,XMR/USDT,233.20000000,235.30000000,229.20000000,232.70000000,4978.22700000,1154321.91520000,3404
1632175200000,2021-09-20 22:00:00,XMR/USDT,234.60000000,236.90000000,231.90000000,233.10000000,4082.06800000,955577.46650000,2220
1632171600000,2021-09-20 21:00:00,XMR/USDT,232.80000000,237.20000000,231.90000000,234.40000000,5069.34400000,1191963.49950000,2756
1632168000000,2021-09-20 20:00:00,XMR/USDT,235.30000000,237.20000000,231.00000000,232.80000000,6847.25400000,1606630.75940000,3919
1632164400000,2021-09-20 19:00:00,XMR/USDT,231.80000000,236.00000000,229.30000000,235.30000000,9197.44800000,2139464.26640000,4917
1632160800000,2021-09-20 18:00:00,XMR/USDT,236.30000000,236.90000000,231.20000000,231.70000000,7840.87000000,1838408.21810000,4174
